Euro area,"Age population, age 0, male, interpolated",
Euro area,"Age population, age 01, female, interpolated",
Euro area,"Age population, age 01, male, interpolated",
Euro area,"Age population, age 02, female, interpolated",
Euro area,"Age population, age 02, male, interpolated",
Europe & Central Asia (all income levels),"Age population, age 0, female, interpolated",
Europe & Central Asia (all income levels),"Age population, age 0, male, interpolated",
Europe & Central Asia (all income levels),"Age population, age 01, female, interpolated",
Europe & Central Asia (all income levels),"Age population, age 01, male, interpolated",
Europe & Central Asia (all income levels),"Age population, age 02, female, interpolated",
Europe & Central Asia (all income levels),"Age population, age 02, male, interpolated",
Europe & Central Asia (developing only),"Age population, age 0, female, interpolated",
Europe & Central Asia (developing only),"Age population, age 0, male, interpolated",
Europe & Central Asia (developing only),"Age population, age 01, female, interpolated",
Europe & Central Asia (developing only),"Age population, age 01, male, interpolated",
Europe & Central Asia (developing only),"Age population, age 02, female, interpolated",
Europe & Central Asia (developing only),"Age population, age 02, male, interpolated",
European Union,"Age population, age 0, female, interpolated",
European Union,"Age population, age 0, male, interpolated",
European Union,"Age population, age 01, female, interpolated",
European Union,"Age population, age 01, male, interpolated",
European Union,"Age population, age 02, female, interpolated",
European Union,"Age population, age 02, male, interpolated",
Faeroe Islands,"Age population, age 0, female, interpolated",
Faeroe Islands,"Age population, age 0, male, interpolated",
Faeroe Islands,"Age population, age 01, female, interpolated",
Faeroe Islands,"Age population, age 01, male, interpolated",
Faeroe Islands,"Age population, age 02, female, interpolated",
Faeroe Islands,"Age population, age 02, male, interpolated",
Fiji,"Age population, age 0, female, interpolated",9011
Fiji,"Age population, age 0, male, interpolated",9517
Fiji,"Age population, age 01, female, interpolated",9073
Fiji,"Age population, age 01, male, interpolated",9590
Fiji,"Age population, age 02, female, interpolated",8840
Fiji,"Age population, age 02, male, interpolated",9392
Finland,"Age population, age 0, female, interpolated",30492
Finland,"Age population, age 0, male, interpolated",31525
Finland,"Age population, age 01, female, interpolated",30556
Finland,"Age population, age 01, male, interpolated",31595
Finland,"Age population, age 02, female, interpolated",29901
Finland,"Age population, age 02, male, interpolated",31074
France,"Age population, age 0, female, interpolated",384518
France,"Age population, age 0, male, interpolated",400460
France,"Age population, age 01, female, interpolated",383455
France,"Age population, age 01, male, interpolated",398204
France,"Age population, age 02, female, interpolated",382886
France,"Age population, age 02, male, interpolated",398008
French Polynesia,"Age population, age 0, female, interpolated",1460
French Polynesia,"Age population, age 0, male, interpolated",1645
French Polynesia,"Age population, age 01, female, interpolated",1292
French Polynesia,"Age population, age 01, male, interpolated",1488
French Polynesia,"Age population, age 02, female, interpolated",1517
French Polynesia,"Age population, age 02, male, interpolated",1664
Gabon,"Age population, age 0, female, interpolated",24327
Gabon,"Age population, age 0, male, interpolated",24895
Gabon,"Age population, age 01, female, interpolated",23681
Gabon,"Age population, age 01, male, interpolated",24214
Gabon,"Age population, age 02, female, interpolated",22990
Gabon,"Age population, age 02, male, interpolated",23487
"Gambia, The","Age population, age 0, female, interpolated",34230
"Gambia, The","Age population, age 0, male, interpolated",35048
"Gambia, The","Age population, age 01, female, interpolated",32734
"Gambia, The","Age population, age 01, male, interpolated",33487
"Gambia, The","Age population, age 02, female, interpolated",31396
"Gambia, The","Age population, age 02, male, interpolated",32076
Georgia,"Age population, age 0, female, interpolated",30954
Georgia,"Age population, age 0, male, interpolated",33782
Georgia,"Age population, age 01, female, interpolated",31613
Georgia,"Age population, age 01, male, interpolated",34352
Georgia,"Age population, age 02, female, interpolated",29591
Georgia,"Age population, age 02, male, interpolated",32457
Germany,"Age population, age 0, female, interpolated",333799
Germany,"Age population, age 0, male, interpolated",353494
Germany,"Age population, age 01, female, interpolated",331277
Germany,"Age population, age 01, male, interpolated",350337
Germany,"Age population, age 02, female, interpolated",333503
Germany,"Age population, age 02, male, interpolated",351888
Ghana,"Age population, age 0, female, interpolated",365832
Ghana,"Age population, age 0, male, interpolated",382236
Ghana,"Age population, age 01, female, interpolated",360476
Ghana,"Age population, age 01, male, interpolated",376367
Ghana,"Age population, age 02, female, interpolated",352287
Ghana,"Age population, age 02, male, interpolated",367266
Greece,"Age population, age 0, female, interpolated",57583
Greece,"Age population, age 0, male, interpolated",61223
Greece,"Age population, age 01, female, interpolated",58006
Greece,"Age population, age 01, male, interpolated",61682
