"","countrycode","country","protein.amb.g","protein.amb.cal","protein.co2.g","protein.co2.cal","protein.co2.g.SE","irrelevantcolumn","energy","protein.percent.decrease","protein.percent.decrease.SE","protein.calorie.ratio.difference","protein.calorie.ratio.SE"
"3929","MEX","Mexico",64,272,61.8322517494121,262.787069935002,1.48623413311142,122,2770,-3.38710664154354,2.3222408329866,-0.33259675324904,0.228032312842005
"3933","MKD","The former Yugoslav Republic of Macedonia",62,263.5,58.1178049618723,247.000671087957,0.670698903134707,189,2647,-6.26160490020603,1.08177242441082,-0.623321832717903,0.107686828043918
"3934","MLI","Mali",67,284.75,65.1170156538751,276.747316528969,0.71077592677065,117,2554,-2.81042439720134,1.060859592195,-0.313339211864949,0.118277121721819
"3935","MLT","Malta",88,374,84.0583713532041,357.248078251118,0.779131387086039,118,3003,-4.47912346226803,0.885376576234135,-0.557839552077337,0.110266679824031
"3936","MMR","Myanmar",76,323,72.5542527144123,308.355574036252,0.569001793004781,129,2432,-4.53387800735222,0.748686569743133,-0.602155672851468,0.0994349350440099
"3938","MNE","Montenegro",75,318.75,70.7629080778126,300.742359330704,0.826463936045417,126,2989,-5.64945589624983,1.10195191472722,-0.602463722626173,0.117513272940549
"3939","MNG","Mongolia",56,238,53.5943633370736,227.776044182563,0.610917967404738,125,2153,-4.29577975522571,1.09092494179418,-0.474870219109948,0.120594582511386
"3942","MOZ","Mozambique",42,178.5,40.2098339237007,170.891794175728,0.778912194392301,128,2240,-4.26230018166488,1.85455284379119,-0.33965204572642,0.147784679739611
"3943","MRT","Mauritania",61,259.25,58.2017035779398,247.357240206244,0.697434316774043,119,2473,-4.5873711837052,1.14333494553122,-0.480904156641963,0.119858303529708
"3945","MUS","Mauritius",73,310.25,69.5329959082771,295.515232610178,0.708009137332966,120,2845,-4.74932067359297,0.969875530593104,-0.517918010187073,0.105765864100707
"3946","MWI","Malawi",65,276.25,62.2561815990228,264.588771795847,1.79711357221937,114,2317,-4.2212590784264,2.76479011110672,-0.503289952704056,0.329638872763587
"3947","MYS","Malaysia",69,293.25,66.1219628696762,281.018342196124,0.384027232204104,115,2690,-4.17106830481708,0.556561206092904,-0.45470846854558,0.0606734474671911
"3948","NAC","Northern America",79,335.75,76.3003746208432,324.276592138584,0.513544121373053,140,3191,-3.41724731538834,0.650055849839307,-0.359555244795247,0.0683974464379653
"3949","NAFR","Northern Africa",80,340,75.3716489545492,320.329508056834,0.985240190068973,139,2963,-5.78543880681345,1.23155023758622,-0.663870804696783,0.141318623280227
"3950","NAM","Namibia",53,225.25,51.0961098142623,217.158466710615,0.62416073420556,130,1969,-3.59224563346741,1.177661762652,-0.410946332624954,0.134722352482155
"3951","NCL","New Caledonia",65,276.25,62.7907390336488,266.860640893007,0.440636227458978,134,2509,-3.39886302515573,0.677901888398427,-0.37422714655212,0.0746394566241792
"3952","NeFoIC","Net Food Importing Developing Countries",59,250.75,56.2732167440272,239.161171162116,0.602499243173118,132,2357,-4.62166653554709,1.02118515792054,-0.491677082642525,0.108639023482637
"3953","NER","Niger",74,314.5,72.8356279116588,309.55141862455,1.11511665897361,137,2447,-1.57347579505567,1.5069144040184,-0.202230542519413,0.193675758097175
"3954","NEUR","Northern Europe",75,318.75,71.9101526897831,305.618148931578,0.603577101771663,141,2942,-4.11979641362249,0.804769469028884,-0.446357956098629,0.0871924773123578
"3956","NGA","Nigeria",59,250.75,57.061770241267,242.512523525385,0.566181833360882,138,2649,-3.2851351842933,0.959630226035394,-0.310965514330519,0.090837024982399
"3957","NIC","Nicaragua",53,225.25,50.7514262353401,215.693561500195,1.09757448738189,136,2389,-4.24259200879225,2.07089525921112,-0.400018354952053,0.195257077077147
"3959","NLD","Netherlands",67,284.75,64.4230015074003,273.797756406451,0.479095083529268,133,2598,-3.84626640686518,0.715067288849654,-0.421564418535357,0.0783739070438564
"3961","NOR","Norway",76,323,72.9442490101004,310.013058292927,0.648205342163555,142,2977,-4.02072498670997,0.852901766004678,-0.436242583374982,0.0925385523747098
"3962","NPL","Nepal",58,246.5,54.2437244077605,230.535828732982,0.692822436365713,131,2451,-6.47633722799909,1.19452144200985,-0.651332977030507,0.12013444939022
"3964","NZL","New Zealand",85,361.25,82.231951586362,349.485794242038,0.513231880001963,135,2894,-3.25652754545652,0.603802211767016,-0.406503308844564,0.0753709568074756
"3965","Oceania","Oceania",79,335.75,76.5945804336222,325.526966842894,0.489567140152567,144,2823,-3.04483489414908,0.619705240699453,-0.362133657708308,0.0737038733846409
"3970","PAK","Pakistan",42,178.5,39.5963997876757,168.284699097622,0.658640462552784,145,2093,-5.72285764839118,1.56819157750663,-0.488069799444732,0.133742091058258
"3971","PAN","Panama",58,246.5,55.8259741278415,237.260390043326,0.389793963082333,146,2411,-3.74832046923881,0.672058557038506,-0.383227289783229,0.0687110884736589
"3973","PER","Peru",61,259.25,58.0004657464028,246.501979422212,0.489614719670936,148,2483,-4.91726926819216,0.802647081427765,-0.513412024880716,0.0838043720741635
"3974","PHL","Philippines",51,216.75,48.423726686383,205.800838417128,0.431746503105969,149,2554,-5.05151630120989,0.846561770796017,-0.428706404967598,0.0718450523962555
"3977","POL","Poland",84,357,79.7955217038478,339.130967241353,0.73735859896212,150,3190,-5.00533130494306,0.877807855907286,-0.560157766728739,0.0982374308962072
"3978","POLYN","Polynesia",79,335.75,76.9906521053786,327.210271447859,0.327968828704303,151,2694,-2.54347834762201,0.415150416081396,-0.31699066637494,0.0517397001482289
"3980","PRK","Democratic People's Republic of Korea",53,225.25,49.8791585952498,211.986424029812,0.692644975187266,53,2074,-5.88838000896258,1.30687731167409,-0.639516681301264,0.141935445735095
"3981","PRT","Portugal",89,378.25,85.400437492229,362.951859341973,0.570741048856767,152,3133,-4.04445225592251,0.641282077367154,-0.488290477434629,0.0774225808375761
"3982","PRY","Paraguay",58,246.5,56.1257395379006,238.534393036078,1.03035323020988,147,2474,-3.23148355534376,1.77647108656875,-0.321972795631462,0.177000858059498
"3983","PSE","Occupied Palestinian Territory",49,208.25,45.8603242968547,194.906378261632,0.662907837381117,143,1895,-6.40750143499043,1.35287313751248,-0.704148904399343,0.148673261681781
"3985","PYF","French Polynesia",82,348.5,80.057409820895,340.243991738804,0.366453238461533,71,2622,-2.36901241354265,0.446894193245773,-0.314874456948747,0.0593984082174492
"3987","ROU","Romania",73,310.25,68.576250774298,291.449065790767,0.89307591715454,155,2843,-6.05993044616708,1.22339166733499,-0.661306162829174,0.133505896866226
"3988","RUS","Russian Federation",77,327.25,73.2235599872083,311.200129945635,0.77751329650037,156,2989,-4.90446754908013,1.00975752792256,-0.536964538453151,0.110553078291287
"3989","RWA","Rwanda",49,208.25,46.5007365131758,197.628130180997,0.788836284281218,157,2109,-5.10053772821266,1.60986996792085,-0.503644846799568,0.15896416349906
"3991","SAU","Saudi Arabia",71,301.75,67.1969110257714,285.586871859528,0.682750208618115,163,2900,-5.35646334398396,0.96162001213819,-0.557349246223159,0.100058220228517
"3993","SDN","Sudan (former)",50,212.5,48.8570633733314,207.642519336658,0.54056533898639,181,1972,-2.28587325333727,1.08113067797278,-0.246322548850998,0.116501150643619
"3994","SEN","Senegal",54,229.5,51.7125099458622,219.778167269914,0.473953868379646,164,2363,-4.23609269284787,0.877692348851196,-0.411419074485225,0.0852435015071305
"3998","SLB","Solomon Islands",56,238,53.4223510808985,227.044992093819,0.380723165134082,171,2435,-4.60294449839548,0.67986279488229,-0.449897655284651,0.066450655105538
