plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,SE,Var,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude,notes
2,2,C3_cereal,rice,390,650,tunnel,1,field,0.931806523,3,0.035440623,0.001256038,81.87,76.287,2.005,2.22,NA,2,,default,"2-Chonnam_National_University,_Gwangju,_Korea2010650NANAambientNA",lee_et_al_2013_rice,"Chonnam_National_University,_Gwangju,_Korea",2010,Kore,2,ok,
2,2,C3_cereal,rice,369,571,OTC,1,field,1.01,6,0.005105046,2.60615E-05,100,101,,,NA,2,,default,2-Philippines1994571NANAambientNA,Ziska_et_al_1997,Philippines,1994,Phil,1,ok,
2,2,C3_cereal,rice,369,571,OTC,1,field,0.93,6,0.034268732,0.001174346,100,93,,,NA,2,,default,2-Philippines1994571NANAwarmed?NA,Ziska_et_al_1997,Philippines,1994,Phil,1,ok,
2,2,C3_cereal,rice,369,571,OTC,1,field,0.989247312,6,0.005432597,2.95131E-05,100,98.92473118,,,NA,2,,default,2-Philippines1995571NANAambientNA,Ziska_et_al_1997,Philippines,1995,Phil,2,ok,
2,2,C3_cereal,rice,369,665,OTC,1,field,0.903225806,6,0.046659484,0.002177107,100,90.32258065,,,NA,2,,default,2-Philippines1995665NANAambientNA,Ziska_et_al_1997,Philippines,1995,Phil,2,ok,
2,2,C3_cereal,rice,393,625,FACE,1,field,0.877483444,3,0.018688416,0.000349257,15.1,13.25,0.226090365,0.200686954,wet,2,,akitakomachi,"2-Shizukuishi,_Japan1999625wetakitakomachi",Lieffering_et_al_2004,"Shizukuishi,_Japan",1999,Shiz,1,ok,
2,2,C3_cereal,rice,393,570,FACE,1,field,0.957142857,3,0.013236674,0.00017521,12.25,11.725,0.130192486,0.103749843,wet,2,,akitakomachi,"2-Shizukuishi,_Japan2000570wetakitakomachi",Lieffering_et_al_2004,"Shizukuishi,_Japan",2000,Shiz,2,ok,
2,2,C3_cereal,rice,375,571,FACE,1,field,0.918987342,3,0.02877503,0.000828002,1.316666667,1.21,0.036666667,0.017320508,wet,2,,akitakomachi,"2-Shizukuishi,_Japan2007571wetakitakomachiambientmedium",,"Shizukuishi,_Japan",2007,Shiz,3,ok,
2,2,C3_cereal,rice,375,571,FACE,1,field,0.922459893,3,0.021619577,0.000467406,1.246666667,1.15,0.018559215,0.02081666,wet,2,,akitakomachi,"2-Shizukuishi,_Japan2008571wetakitakomachiambientmedium",,"Shizukuishi,_Japan",2008,Shiz,4,ok,
2,2,C3_cereal,rice,375,571,FACE,1,field,0.950904393,3,0.036930529,0.001363864,1.29,1.226666667,0.02081666,0.043333333,wet,2,,tanakari,"2-Shizukuishi,_Japan2008571wettanakariambientmedium",,"Shizukuishi,_Japan",2008,Shiz,4,ok,
2,2,C3_cereal,rice,375,571,FACE,1,field,0.952978056,3,0.047341887,0.002241254,1.063333333,1.013333333,0.049103066,0.018559215,wet,2,,koshihikari,"2-Shizukuishi,_Japan2008571wetkoshihikariambientmedium",,"Shizukuishi,_Japan",2008,Shiz,4,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.897391304,4,0.014063888,0.000197793,1.4375,1.29,0.008539126,0.018708287,wet,3,,Hoshiaoba,"2-Tsukubamirai,_Japan2010584wetHoshiaobaambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.882828283,4,0.018044171,0.000325592,1.2375,1.0925,0.017017148,0.01652019,wet,2,,Norin8,"2-Tsukubamirai,_Japan2010584wetNorin8ambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.930501931,4,0.018287765,0.000334442,1.295,1.205,0.017078251,0.017559423,wet,3,,86y8,"2-Tsukubamirai,_Japan2010584wet86y8ambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.950471698,4,0.01872435,0.000350601,1.06,1.0075,0.017320508,0.011086779,wet,1,,koshihikari,"2-Tsukubamirai,_Japan2010584wetkoshihikariambientlow",zhang_et_al_2013_rice_own_data,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.899513776,4,0.016110308,0.000259542,1.5425,1.3875,0.017969882,0.018874586,wet,3,,Milyang23,"2-Tsukubamirai,_Japan2010584wetMilyang23ambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.922787194,4,0.015935379,0.000253936,1.3275,1.225,0.018427787,0.012583057,wet,3,,Nihonbare,"2-Tsukubamirai,_Japan2010584wetNihonbareambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.911522634,4,0.017317322,0.00029989,1.215,1.1075,0.020615528,0.009464847,wet,3,,Kokuriku193,"2-Tsukubamirai,_Japan2010584wetKokuriku193ambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.910233393,4,0.019122086,0.000365654,1.3925,1.2675,0.0225,0.017017148,wet,3,,Takanari,"2-Tsukubamirai,_Japan2010584wetTakanariambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.962886598,4,0.018864646,0.000355875,1.2125,1.1675,0.023228933,0.004787136,wet,2,,Akitakomachi,"2-Tsukubamirai,_Japan2010584wetAkitakomachiambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.895220588,4,0.027121354,0.000735568,1.36,1.2175,0.025495098,0.028975564,wet,3,,Bekoaoba,"2-Tsukubamirai,_Japan2010584wetBekoaobaambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.956607495,4,0.027548016,0.000758893,1.2675,1.2125,0.026575365,0.023935678,wet,2,,Takanari,"2-Tsukubamirai,_Japan2010584wetTakanariambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.906666667,4,0.026378325,0.000695816,1.3125,1.19,0.032755407,0.01779513,wet,2,,Akidawara,"2-Tsukubamirai,_Japan2010584wetAkidawaraambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.915611814,4,0.036258285,0.001314663,1.185,1.085,0.034034296,0.029580399,wet,2,,koshihikari,"2-Tsukubamirai,_Japan2010584wetkoshihikariambientmedium",zhang_et_al_2013_rice_own_data,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.930693069,4,0.03024078,0.000914505,1.2625,1.175,0.034247871,0.021015867,wet,2,,Akihikari,"2-Tsukubamirai,_Japan2010584wetAkihikariambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.879837067,4,0.040114544,0.001609177,1.2275,1.08,0.034247871,0.038944405,wet,3,,Miriroman,"2-Tsukubamirai,_Japan2010584wetMiriromanambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.893700787,4,0.037926457,0.001438416,1.27,1.135,0.035590261,0.036170891,wet,3,,Koshihikari,"2-Tsukubamirai,_Japan2010584wetKoshihikariambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.982035928,4,0.037541316,0.00140935,1.2525,1.23,0.035677958,0.031358146,wet,2,,86Y8,"2-Tsukubamirai,_Japan2010584wet86Y8ambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.873333333,4,0.034992594,0.001224482,1.5,1.31,0.037193189,0.041231056,wet,2,,Aikoku,"2-Tsukubamirai,_Japan2010584wetAikokuambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.939330544,4,0.034121385,0.001164269,1.195,1.1225,0.03968627,0.01652019,wet,2,,Akita63,"2-Tsukubamirai,_Japan2010584wetAkita63ambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.907103825,4,0.031729448,0.001006758,1.3725,1.245,0.043469338,0.018484228,wet,3,,IR72,"2-Tsukubamirai,_Japan2010584wetIR72ambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.923986486,4,0.032263234,0.001040916,1.48,1.3675,0.046007246,0.021746647,wet,3,,Lemont,"2-Tsukubamirai,_Japan2010584wetLemontambienthigh",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,584,FACE,1,field,0.886486486,4,0.045484788,0.002068866,1.3875,1.23,0.064468985,0.026770631,wet,2,,SY63,"2-Tsukubamirai,_Japan2010584wetSY63ambientmedium",,"Tsukubamirai,_Japan",2010,Tsuk,1,ok,
2,2,C3_cereal,rice,386,560,FACE,1,field,0.94,4,0.022260002,0.000495508,1,0.94,,,NA,1,,default,"2-Tsukubamirai,_Japan2011560NANAambientlow",zhang_et_al_2013_rice,"Tsukubamirai,_Japan",2011,Tsuk,2,no_SE,
2,2,C3_cereal,rice,386,560,FACE,1,field,0.94,4,0.022260002,0.000495508,1,0.94,,,NA,2,,default,"2-Tsukubamirai,_Japan2011560NANAambientmedium",zhang_et_al_2013_rice,"Tsukubamirai,_Japan",2011,Tsuk,2,no_SE,
2,2,C3_cereal,rice,350,700,GC,0,pots,0.778597786,1,0,0,2.71,2.11,0,0,NA,2,[P]_=_0,default,"2-University_of_Western_Sydney,_Australia700NANAambientNA[P]_=_0",Seneweera_et_al_1996_Seneweera_&_Conroy_1997_,"University_of_Western_Sydney,_Australia",,UWS,1,no_SD,
