plantorder,plantnumber,type,plant,paircount,CO2_quant,CO2_qual,facility,field01,fieldpots,replicate_facilities,N_est,SE_est,Var,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude
1,1,C3_cereal,wheat,122,700,1,OTC,0,pots,2,3.02,,,NA,3,,nandu,"1-Braunschweig,_Germany1994700NAnanduambienthigh",Weigel_and_Manderscheid_2005,"Braunschweig,_Germany",1994,Brau,2,
15,54,oilcrop,soybean,123,550,1,FACE,1,field,4,6.21,0.06244998,0.0039,dry,1,,Pana,54-Champaign_Illinois2001550dryPanaambientlow,,Champaign_Illinois,2001,Illn,1,
1,1,C3_cereal,wheat,124,550,1,FACE,1,field,4,13.296465,0.256660767,0.065874749,dry,1,TOS1,yitpi,"1-Horsham,_Australia2007550dryyitpiambientlowTOS1",,"Horsham,_Australia",2007,Hors,1,
20,84,vegetable,cassava_leaves,125,585,1,FACE,1,field,4,4.422,0.08,0.0064,NA,2,harvest_2,default,84-Champaign_Illinois2010585NANAambientNAharvest_2,Rosenthal_et_al_2012,Champaign_Illinois,2010,Illn,7,no_SE
1,1,C3_cereal,wheat,126,550,1,FACE,1,field,4,12.115435,0.212114495,0.044992559,wet,1,TOS1_maybe,h45,"1-Horsham,_Australia2009550weth45ambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,2,
15,54,oilcrop,soybean,127,550,1,FACE,1,field,4,6.14,0.110980479,0.012316667,dry,1,,loda,54-Champaign_Illinois2008550drylodaambientlow,,Champaign_Illinois,2008,Illn,6,
1,1,C3_cereal,wheat,128,550,1,FACE,1,field,2,118,,,NA,1,,batis,"1-Braunschweig,_Germany2001/2002550NAbatisambientlow",Wroblewitz_et_al_2013,"Braunschweig,_Germany",2001/2002,Brau,5,
1,1,C3_cereal,wheat,129,550,1,FACE,1,field,4,13.40594,0.136040092,0.018506907,wet,1,TOS2,yitpi,"1-Horsham,_Australia2007550wetyitpiambientlowTOS2",,"Horsham,_Australia",2007,Hors,1,
7,8,C4_cereal,sorghum,130,561,1,FACE,1,field,3.5,1.613333333,0.034801022,0.001211111,wet,2,,default,"8-Maricopa,_Arizona1998561wetNAambientmedium",,"Maricopa,_Arizona",1998,Mari,3,
3,3,C3_cereal,barley,131,550,1,FACE,1,field,2,97.3,,,NA,3,,theresa,"3-Braunschweig,_Germany2002/2003550NAtheresaambienthigh",Wroblewitz_et_al_2013_,"Braunschweig,_Germany",2002/2003,Brau,6,
3,3,C3_cereal,barley,132,700,1,GH,0,pots,1,2.138,0.03,0.0009,NA,3,,default,"3-Cambridge,_UK1990700NANAambienthigh",Thompson_and_Woodward_1994,"Cambridge,_UK",1990,Camb,1,
15,54,oilcrop,soybean,133,516,1,OTC,1,field,3,34.4,0.71,0.5041,NA,2,4_straw,default,54-Belgium516NANAambientNA4_straw,Shivashankar_and_Vlassak_1978,Belgium,,Belg,1,no_SE
15,54,oilcrop,soybean,134,550,1,FACE,1,field,4,6.2275,0.065367551,0.004272917,dry,1,,pana,54-Champaign_Illinois2004550drypanaambientlow,,Champaign_Illinois,2004,Illn,3,
1,1,C3_cereal,wheat,135,550,1,FACE,1,field,4,13.978515,0.296110085,0.087681182,dry,2,TOS1,yitpi,"1-Horsham,_Australia2007550dryyitpiambientmediumTOS1",,"Horsham,_Australia",2007,Hors,1,
2,2,C3_cereal,rice,136,700,1,GC,0,pots,1,1.912,0.0945,0.00893025,NA,2,[P]_=_30,default,"2-University_of_Western_Sydney,_Australia700NANAambientNA[P]_=_30",Seneweera_et_al_1996_Seneweera_&_Conroy_1997_,"University_of_Western_Sydney,_Australia",,UWS,1,no_samplesize
1,1,C3_cereal,wheat,137,550,1,FACE,1,field,4,13.33893375,0.282190845,0.079631673,wet,2,TOS2,yitpi,"1-Horsham,_Australia2007550wetyitpiambientmediumTOS2",,"Horsham,_Australia",2007,Hors,1,
2,2,C3_cereal,rice,138,571,1,FACE,1,field,3,1.21,0.017320508,0.0003,wet,2,,akitakomachi,"2-Shizukuishi,_Japan2007571wetakitakomachiambientmedium",,"Shizukuishi,_Japan",2007,Shiz,3,
