plantorder,plantnumber,type,plant,ambient,elevated,facility,field01,fieldpots,percent_decrease_N,replicate_facilities,SE,Var,aN,eN,SE_a,SE_e,watering,nitrogen,other,cultivar,concatenate,Author,site_of_expt,year_of_experiment,Sitecode,yearcode,exclude,notes
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.927372383,4,0.035355134,0.070710268,17.2548,16.001625,0.333794435,0.525674377,dry,1,TOS_2_maybe,silverstar,"1-Horsham,_Australia2009550drysilverstarambientlowTOS_2_maybe",,"Horsham,_Australia",2009,Hors,3,ok,SE_combined_with_sorghum
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.940663422,4,0.027109041,0.054218082,15.09145,14.195975,0.342041644,0.252694153,wet,1,TOS1_maybe,gladius,"1-Horsham,_Australia2009550wetgladiusambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.935740506,4,0.052273808,0.104547616,13.935295,13.03982,0.359769772,0.645992852,wet,1,TOS1_maybe,zebu,"1-Horsham,_Australia2009550wetzebuambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.964306842,4,0.076269367,0.152538734,15.63633,15.07822,0.393900777,1.130464939,wet,1,TOS_2_maybe,drysdale,"1-Horsham,_Australia2009550wetdrysdaleambientlowTOS_2_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.942811525,4,0.039002842,0.078005684,14.03893,13.236065,0.410837363,0.387021918,dry,1,TOS1_maybe,silverstar,"1-Horsham,_Australia2009550drysilverstarambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.856196555,4,0.039841686,0.079683372,15.432245,13.213035,0.419310682,0.499145818,wet,1,TOS_2_maybe,janz,"1-Horsham,_Australia2009550wetjanzambientlowTOS_2_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.966881479,4,0.047993966,0.095987932,13.44897,13.00356,0.435675586,0.489062386,wet,1,TOS1_maybe,silverstar,"1-Horsham,_Australia2009550wetsilverstarambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.864595921,4,0.045324508,0.090649016,16.993875,14.692835,0.474954412,0.651644044,dry,1,TOS_2_maybe,h45,"1-Horsham,_Australia2009550dryh45ambientlowTOS_2_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.95787659,4,0.038590509,0.077181018,15.20366,14.56323,0.490891968,0.350906947,dry,1,TOS1_maybe,yitpi,"1-Horsham,_Australia2009550dryyitpiambientlowTOS1_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
1,1,C3_cereal,wheat,380,550,FACE,1,field,0.917535679,4,0.079713741,0.159427482,16.839525,15.450865,0.510974602,1.257804541,wet,1,TOS_2_maybe,zebu,"1-Horsham,_Australia2009550wetzebuambientlowTOS_2_maybe",,"Horsham,_Australia",2009,Hors,3,ok,
