Study,Location,Year,Crop,Cultivar,WateringRegime,Pptn,Irrign,TotH2O,CO2treatment,NapplicnQ,Napplicn,Phos_App,Temperature_treatment,TOS,CO2_indicator,Pair_Count,Pair-CO2_ID,24hCO2,Yield,Zn,Fe,Ph,N,P,K,S,B,Ca,Mg,Mn,Cu
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Silverstar,Dry,223,0,223,eCO2,Low,0,0,,TOS1,1,33,331,No,367.960626,26.105,36.7975,2.290083333,13.236065,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Zebu,Dry,223,0,223,aCO2,Low,0,0,,TOS1,0,34,340,No,299.1534876,25.1325,41.9525,2.311416667,14.474785,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Zebu,Dry,223,0,223,eCO2,Low,0,0,,TOS1,1,34,341,No,432.523531,25.6,40.27,2.458233333,13.55334,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Drysdale,Dry,187,0,187,aCO2,Low,0,0,,TOS2,0,35,350,No,125.2105263,43.5975,46.6875,2.994633333,16.179005,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Drysdale,Dry,187,0,187,eCO2,Low,0,0,,TOS2,1,35,351,No,212.6061842,26.9975,44.1275,2.857975,14.922155,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Gladius,Dry,187,0,187,aCO2,Low,0,0,,TOS2,0,36,360,No,100.5361842,37.5525,49.175,3.526375,17.726915,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Gladius,Dry,187,0,187,eCO2,Low,0,0,,TOS2,1,36,361,No,143.8190789,28.24,41.72,2.944683333,15.556215,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,H45,Dry,187,0,187,aCO2,Low,0,0,,TOS2,0,37,370,No,169.5855263,29.005,44.2675,3.023091667,16.993875,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,H45,Dry,187,0,187,eCO2,Low,0,0,,TOS2,1,37,371,No,239.2565789,24.5825,39.375,2.5446,14.692835,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Hartog,Dry,187,0,187,aCO2,Low,0,0,,TOS2,0,38,380,No,139.6611842,40.8725,46.675,3.429708333,16.24736,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Hartog,Dry,187,0,187,eCO2,Low,0,0,,TOS2,1,38,381,No,143.1480263,27.69,42.6875,2.901783333,14.918235,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Silverstar,Dry,187,0,187,aCO2,Low,0,0,,TOS2,0,39,390,No,125.2532895,34.3775,51.4425,3.024166667,17.2548,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Silverstar,Dry,187,0,187,eCO2,Low,0,0,,TOS2,1,39,391,No,205.6282895,27.205,47.42,3.389966667,16.001625,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Zebu,Dry,187,0,187,aCO2,Low,0,0,,TOS2,0,40,400,No,131.9901316,37.545,52.8875,3.200316667,19.042565,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Zebu,Dry,187,0,187,eCO2,Low,0,0,,TOS2,1,40,401,No,171.3980263,28.955,47.3875,3.007858333,17.12152,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Janz,Dry,223,0,223,aCO2,Low,0,0,,TOS1,0,41,410,No,285.9046053,28.56,36.0725,3.139616667,15.262705,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Janz,Dry,223,0,223,eCO2,Low,0,0,,TOS1,1,41,411,No,336.0361842,27.035,36.495,2.771441667,14.237625,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Yitpi,Dry,223,0,223,aCO2,Low,0,0,,TOS1,0,42,420,No,274.1480263,28.6525,42.0925,2.805308333,15.20366,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Yitpi,Dry,223,0,223,eCO2,Low,0,0,,TOS1,1,42,421,No,292.5394737,28.8125,38.1725,2.636125,14.56323,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Janz,Dry,187,0,187,aCO2,Low,0,0,,TOS2,0,43,430,No,151.6578947,31.8175,41.47,3.042725,16.61094,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Janz,Dry,187,0,187,eCO2,Low,0,0,,TOS2,1,43,431,No,220.4769737,24.2,41.8825,2.66975,14.793775,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Yitpi,Dry,187,0,187,aCO2,Low,0,0,,TOS2,0,44,440,No,116.7302632,34.9625,52.505,3.064158333,17.32438,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Yitpi,Dry,187,0,187,eCO2,Low,0,0,,TOS2,1,44,441,No,206.1085526,25.5775,44.2625,2.705808333,15.570915,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Yitpi,Dry,223,0,223,aCO2,Medium,50,0,,TOS1,0,45,450,No,263.3830975,33.235,44.0275,2.9875,16.07047,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Yitpi,Dry,223,0,223,eCO2,Medium,50,0,,TOS1,1,45,451,No,297.1001843,28.2375,41.15,3.06265,14.84302,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Yitpi,Dry,187,0,187,aCO2,Medium,50,0,,TOS2,0,46,460,No,105.4276316,42.815,51.9225,3.422958333,18.37592,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Yitpi,Dry,187,0,187,eCO2,Medium,50,0,,TOS2,1,46,461,No,204.3092105,27.3275,47.4575,2.799925,16.228985,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Drysdale,Wet,223,70,293,aCO2,Low,0,0,,TOS1,0,47,470,No,295.1864302,30.51,39.9,2.956091667,14.366985,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Drysdale,Wet,223,70,293,eCO2,Low,0,0,,TOS1,1,47,471,No,277.3051026,33.6,38.9275,3.259483333,14.33587,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Gladius,Wet,223,70,293,aCO2,Low,0,0,,TOS1,0,48,480,No,351.0739835,28.2725,39.16,2.57915,15.09145,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Gladius,Wet,223,70,293,eCO2,Low,0,0,,TOS1,1,48,481,No,432.1371507,30.655,40.8125,2.889208333,14.195975,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,H45,Wet,223,70,293,aCO2,Low,0,0,,TOS1,0,49,490,No,315.6191986,29.745,35.985,2.513083333,13.631985,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,H45,Wet,223,70,293,eCO2,Low,0,0,,TOS1,1,49,491,No,451.0213505,30.295,35.435,2.583691667,12.115435,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Hartog,Wet,223,70,293,aCO2,Low,0,0,,TOS1,0,50,500,No,252.6381393,27.41,40.48,2.77375,14.51031,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Hartog,Wet,223,70,293,eCO2,Low,0,0,,TOS1,1,50,501,No,225.3663165,33.2625,40.06,2.809316667,13.92378,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Silverstar,Wet,223,70,293,aCO2,Low,0,0,,TOS1,0,51,510,No,366.8053199,26.6875,39.05,2.652675,13.44897,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Silverstar,Wet,223,70,293,eCO2,Low,0,0,,TOS1,1,51,511,No,367.0668353,27.0725,36.26,2.668341667,13.00356,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Zebu,Wet,223,70,293,aCO2,Low,0,0,,TOS1,0,52,520,No,386.8305524,27.7175,40.1675,2.17335,13.935295,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Zebu,Wet,223,70,293,eCO2,Low,0,0,,TOS1,1,52,521,No,484.8186076,24.9775,38.6775,2.143675,13.03982,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Drysdale,Wet,187,60,247,aCO2,Low,0,0,,TOS2,0,53,530,No,126.1546053,35.325,41.83,3.027458333,15.63633,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Drysdale,Wet,187,60,247,eCO2,Low,0,0,,TOS2,1,53,531,No,188.9243421,30.9125,43.1575,2.937375,15.07822,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Gladius,Wet,187,60,247,aCO2,Low,0,0,,TOS2,0,54,540,No,139.5953947,32.5775,46.1825,3.095658333,17.10437,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Gladius,Wet,187,60,247,eCO2,Low,0,0,,TOS2,1,54,541,No,191.1513158,29.965,43.85,3.107608333,15.984965,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,H45,Wet,187,60,247,aCO2,Low,0,0,,TOS2,0,55,550,No,185.5625,31.9,42.8875,3.14155,16.31645,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,H45,Wet,187,60,247,eCO2,Low,0,0,,TOS2,1,55,551,No,244.5,23.575,36.3075,2.236316667,13.86841,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Hartog,Wet,187,60,247,aCO2,Low,0,0,,TOS2,0,56,560,No,128.4210526,38.615,42.865,3.37495,15.807585,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Hartog,Wet,187,60,247,eCO2,Low,0,0,,TOS2,1,56,561,No,174.2434211,30.305,42.2725,3.063883333,14.911865,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Silverstar,Wet,187,60,247,aCO2,Low,0,0,,TOS2,0,57,570,No,131.5657895,35.49,49,3.051066667,16.969865,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Silverstar,Wet,187,60,247,eCO2,Low,0,0,,TOS2,1,57,571,No,299.9506579,26.19,43.54,2.578233333,14.71268,,,,,,,,
AGFACE_Australia_Wheat,Horsham_Australia,2009,wheat,Zebu,Wet,187,60,247,aCO2,Low,0,0,,TOS2,0,58,580,No,194.4605263,31.0175,48.0725,2.719958333,16.839525,,,,,,,,
