country,max protein,source main protein,source.meatorveg,simplified.source.protein,source main veg protein,source main carbs,av age boysandgirls,FBS order,Pop order
Guinea,21,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Wheat and products,22.48976589,80,87
Guinea-Bissau,18,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Maize and products,22.64418539,81,88
Guyana,15,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Rice (Milled Equivalent),24.91675889,82,89
Haiti,9,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Rice (Milled Equivalent),25.03355766,83,90
Honduras,19,Maize and products,v,Maize and products,Maize and products,Rice (Milled Equivalent),24.64281339,84,91
Hungary,23,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),40.54667116,85,92
Iceland,31,Milk - Excluding Butter,m,animals,Wheat and products,Maize and products,36.05606807,86,93
India,15,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,28.14837262,87,94
Indonesia,24,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Wheat and products,28.54273734,88,95
Iran (Islamic Republic of),36,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),29.14999765,89,96
Iraq,35,Wheat and products,v,Wheat and products,Wheat and products,Rice (Milled Equivalent),22.83753074,90,97
Ireland,26,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,35.45662656,91,98
Israel,32,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,32.69111397,92,99
Italy,33,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,42.93312368,93,100
Jamaica,18,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,30.2669648,94,101
Japan,11,Wheat and productsRice (Milled Equivalent),v,mix,Wheat and productsRice (Milled Equivalent),Wheat and products,44.34177621,95,102
Jordan,36,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,24.73539504,96,103
Kazakhstan,25,Milk - Excluding Butter,m,animals,Wheat and products,Rice (Milled Equivalent),30.93171036,97,104
Kenya,18,Maize and products,v,Maize and products,Maize and products,Wheat and products,21.81887079,98,105
Kiribati,18,Pelagic Fish,m,animals,Wheat and products,Wheat and products,26.02008328,99,106
Kuwait,24,Wheat and products,v,Wheat and products,Wheat and products,Maize and products,27.89779314,100,107
Kyrgyzstan,32,Wheat and products,v,Wheat and products,Wheat and products,Coconuts - Incl Copra,27.05667273,101,108
Land Locked Developing Countries,13,Wheat and products,v,Wheat and products,Wheat and products,Wheat and products,,102,
Lao People's Democratic Republic,34,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Wheat and products,24.10807927,103,109
Latvia,20,Milk - Excluding Butter,m,animals,Wheat and products,Wheat and products,41.0379877,104,111
Least Developed Countries,13,Rice (Milled Equivalent),v,Rice (Milled Equivalent),Rice (Milled Equivalent),Rice (Milled Equivalent),23.15191111,105,112
