Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Unit,Value,Flag,FlagD
"FBS","Food Balance Sheets","16","Bangladesh","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","36","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","2","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2961","Aquatic Products, Other","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","17","Bermuda","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","11","Fc","Calculated data"
"FBS","Food Balance Sheets","17","Bermuda","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","19","Fc","Calculated data"
"FBS","Food Balance Sheets","17","Bermuda","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","17","Bermuda","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","138","Fc","Calculated data"
"FBS","Food Balance Sheets","17","Bermuda","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","39","Fc","Calculated data"
"FBS","Food Balance Sheets","17","Bermuda","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","17","Bermuda","674","Protein supply quantity (g/capita/day)","2928","Miscellaneous","2011","g/capita/day","1","Fc","Calculated data"
"FBS","Food Balance Sheets","17","Bermuda","674","Protein supply quantity (g/capita/day)","2945","Offals","2011","g/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","17","Bermuda","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2011","g/capita/day","9","Fc","Calculated data"
"FBS","Food Balance Sheets","17","Bermuda","674","Protein supply quantity (g/capita/day)","2949","Eggs","2011","g/capita/day","3","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2912","Treenuts","2011","kcal/capita/day","34","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2928","Miscellaneous","2011","kcal/capita/day","4","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2945","Offals","2011","kcal/capita/day","10","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2011","kcal/capita/day","70","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2949","Eggs","2011","kcal/capita/day","19","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2961","Aquatic Products, Other","2011","kcal/capita/day","0","Fc","Calculated data"
"FBS","Food Balance Sheets","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2912","Treenuts","2011","g/capita/day","1","Fc","Calculated data"
