"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","BFP","EAR_1","EAR_2","EAR_2_BFP","Def_amb_HHS_EAR2","Def_CO2_HHS_EAR2","Def_CO2u_HHS_EAR2","Def_CO2l_HHS_EAR2","Difference_HHS2","DifferenceCIu_HHS2","DifferenceCIl_HHS2","pop","country.y","People_made_deficient_HHS2","People_made_deficientCIu_HHS2","People_made_deficientCIl_HHS2"
"199","LVA",314,"Latvia",0.600842732769792,0.444083516117977,3.72890490643908,3.81080581655637,3.63747402551814,3.65776174828574,3.6167661728686,3.71937493563542,3.73966265840303,3.69866708298588,0.895089664575842,38.829556064386,41.6174425602756,42.5125322248514,0.513870220348582,0.57414834252853,0.560871881491905,0.587613491215505,0.0602781221799484,0.0470016611433232,0.0737432708669232,2073000,"Latvia",124956.547279033,97434.4435501089,152869.800507132
"200","MAC",315,"China, Macao SAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859134739478276,39.3148702030104,NA,NA,NA,NA,NA,NA,NA,NA,NA,546000,"China, Macao SAR",NA,NA,NA
"201","MAF",316,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","MAFR",317,"Middle Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63854000,"Middle Africa",NA,NA,NA
"203","MAR",318,"Morocco",0.636062341630274,0.51520526346735,4.10132492871772,4.17089434818558,4.01496621806768,4.04846435721438,3.98030694544888,4.08453563753554,4.11803377668224,4.04987636491675,0.783556604044969,35.9075156339342,36.3461101058519,37.1296667098969,0.221985569565194,0.264434397241446,0.247493463467694,0.282563352873623,0.0424488276762522,0.0255078939024996,0.060577783308429,32059000,"Morocco",1360866.96647297,817757.570620234,1942063.15508493
"204","Martinique",319,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Mayotte",320,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","MCA",321,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","MCO",322,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","MDA",323,"Republic of Moldova",0.590761591650478,0.510709915981566,3.62120593284867,3.66529325279242,3.54897673378321,3.59491488991893,3.50082622426806,3.59306405372697,3.63900220986268,3.54491354421181,0.473868804899104,37.9845444186911,41.9770368473017,42.4509056522008,0.585201179917504,0.632123280563421,0.602460611910706,0.662387551953216,0.046922100645918,0.0172594319932025,0.0771863720357123,3543000,"Republic of Moldova",166245.002588487,61150.1675519163,273471.316122529
"209","MDG",324,"Madagascar",0.655320295755759,0.499200446347456,3.42644652854954,3.5165683307475,3.35421720110945,3.38111973686366,3.32657086264731,3.4443390033074,3.47124153906162,3.41669266484527,1.94911958036251,33.4447632349728,29.3861054779563,31.3352250583188,0.511136896628672,0.554934944001961,0.538671376526407,0.571552106069742,0.0437980473732896,0.0275344798977355,0.0604152094410705,21679000,"Madagascar",949497.869005546,596919.989703008,1309741.32547297
"210","MDV",325,"Maldives",0.615539253928533,0.472380727077439,3.44140859044133,3.51928110134767,3.35228931637236,3.37397955336781,3.33011816252327,3.4301618272787,3.45185206427416,3.40799067342961,1.31473062820354,36.1054084053558,33.2438540714653,34.5585846996688,0.565325595611502,0.621441214474101,0.607969351288785,0.635060767627355,0.0561156188626,0.0426437556772838,0.0697351720158539,332000,"Maldives",18630.3854623832,14157.7268848582,23152.0771092635
"211","MEA",326,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Melanesia",327,"Melanesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1898000,"Melanesia",NA,NA,NA
"213","MEX",328,"Mexico",0.67382317795934,0.509197994821349,3.65439528415042,3.75177282276299,3.60007434944941,3.66156882009718,3.53454908407902,3.69745188806198,3.75894635870975,3.63192662269159,0.98755070013093,35.6836253434632,37.4831784009463,38.4707291010772,0.497337171586388,0.529471428546946,0.493090349269967,0.567960944995372,0.032134256960558,-0.00424682231642043,0.0706237734089842,119361000,"Mexico",3835577.04506916,-506904.958510259,8429724.21786977
"214","MHL",329,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","MIC",330,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Micronesia",331,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","MKD",332,"The former Yugoslav Republic of Macedonia",0.652016321879981,0.443157775521755,3.83158403448624,3.94595226948249,3.74904069348734,3.77375247490056,3.72370273326745,3.8634089284836,3.88812070989681,3.83807096826371,0.927060438944716,38.359437403899,NA,NA,NA,NA,NA,NA,NA,NA,NA,2104000,"The former Yugoslav Republic of Macedonia",NA,NA,NA
"218","MLI",333,"Mali",0.590705277481379,0.507679225573303,3.89090083291808,3.9364980973009,3.85606497006086,3.88051231921962,3.83100493827602,3.90166223444368,3.92610958360244,3.87660220265884,2.45091436471001,32.8680424199096,29.8523712851786,32.3032856498886,0.240782088076106,0.259523321401197,0.24629274646982,0.273456697629538,0.0187412333250909,0.00551065839371412,0.0326746095534316,14417000,"Mali",270192.360847835,79447.1620621764,471069.845931823
"219","MLT",334,"Malta",NA,0.430870452556948,NA,4.02954806149979,NA,NA,NA,3.94386242698885,3.97046758202164,3.91653004564577,0.911948926172562,38.7528454730176,45.5505281314925,46.462477057665,NA,NA,NA,NA,NA,NA,NA,426000,"Malta",NA,NA,NA
"220","MMR",335,"Myanmar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51404260621392,37.0852713124381,33.0065928700353,34.5206354762492,NA,NA,NA,NA,NA,NA,NA,52685000,"Myanmar",NA,NA,NA
