"","countrycode","X","country.x","SD_HHS","SD_SOFI","Amb_mean_HHS","Amb_mean_SOFI","CO2_mean_HHS","CO2_CIu_HHS","CO2_CIl_HHS","CO2_mean_SOFI","CO2_CIu_SOFI","CO2_CIl_SOFI","EAR_1","EAR_2_BFP","Def_amb_HHS_EAR2","Def_CO2_HHS_EAR2","Def_CO2u_HHS_EAR2","Def_CO2l_HHS_EAR2","Difference_HHS2","DifferenceCIu_HHS2","DifferenceCIl_HHS2","pop","country.y","People_already_deficient_HHS2","People_made_deficient_HHS2","People_made_deficientCIu_HHS2","People_made_deficientCIl_HHS2"
"112","GIN",228,"Guinea",0.627063950389042,0.53682580740258,3.73522103378557,3.78773465897761,3.6791906494215,3.69647171462582,3.66160568968569,3.73170427461354,3.74898533981786,3.71411931487773,25.1584449669851,24.4688109294643,0.195533914421506,0.221145899458746,0.213048680506235,0.229563361412558,0.0256119850372402,0.0175147660847287,0.034029446991052,11162000,"Guinea",2182549.55277285,285880.976985675,195499.819037741,379836.687314123
"113","GMB",229,"Gambia",0.674557348692328,0.497635431731501,3.93136927502226,4.03506257190237,3.89545849382308,3.91217299917589,3.87845985795277,3.9991517907032,4.01586629605601,3.98215315483289,24.6821323246747,23.6061028656591,0.126875110897966,0.13828615890868,0.132890701792951,0.143924551509933,0.0114110480107135,0.0060155908949846,0.0170494406119668,1735000,"Gambia",220128.317407971,19798.1682985879,10437.0502027983,29580.7794617625
"114","GNB",230,"Guinea-Bissau",0.604895456641854,0.503081134293627,3.53062280997133,3.58702675286323,3.47576734278499,3.49385965035676,3.45734166288422,3.53217128567689,3.55026359324866,3.51374560577612,25.2613562512197,23.8549292149465,0.276629890935181,0.307764600059573,0.297326132528999,0.318557720293302,0.0311347091243916,0.0206962415938178,0.0419278293581212,1624000,"Guinea-Bissau",449246.942878734,50562.767618012,33610.6963483602,68090.7948775889
"115","GNQ",231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6242212576054,26.6217113138706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","GRC",232,"Greece",0.597772412851225,0.430870452556948,4.19078192368403,4.27662317902371,4.13617050008033,4.1549433937641,4.11703843135438,4.22201175542,4.24078464910377,4.20287968669405,28.6727504476981,33.8558590231355,0.131654829669826,0.152152672632921,0.14487977233297,0.159810043029114,0.0204978429630951,0.0132249426631442,0.028155213359288,11119000,"Greece",1463870.0510988,227915.515906654,147048.137471501,313057.817341923
"117","GRD",233,"Grenada",NA,0.493690373536489,NA,3.95567235144442,NA,NA,NA,3.91695845826535,3.92880718737926,3.90496765164986,27.152145699651,29.6026645337788,NA,NA,NA,NA,NA,NA,NA,105000,"Grenada",NA,NA,NA,NA
"118","GRL",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","GTM",235,"Guatemala",0.728404444042723,0.538913998815958,3.64673648837755,3.76680885636824,3.60282202824844,3.65470261269052,3.54810185769416,3.72289439623913,3.77477498068121,3.66817422568485,25.2802663846305,26.9231743272444,0.313607934981987,0.335286880654342,0.309740635601846,0.363080288919084,0.021678945672355,-0.00386729938014074,0.0494723539370969,14707000,"Guatemala",4612231.89978008,318832.254003325,-56876.3719837299,727589.909352884
"120","GUM",236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1074558193284,24.7982666767431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","GUY",237,"Guyana",0.657910401968286,0.479914320542959,3.87792151371306,3.979185684691,3.83159636868563,3.84957022312027,3.81329353272299,3.93286053966356,3.9508343940982,3.91455770370092,25.5688493142946,26.8869628228161,0.18643122389193,0.20590521407197,0.198210230002226,0.213920320067552,0.0194739901800395,0.0117790061102954,0.0274890961756223,791000,"Guyana",147467.098098517,15403.9262324112,9317.19383324368,21743.8750749172
"122","HIC",238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","HIGHIN",239,"HIGHIN",0.597778193885594,0.429102662953373,4.18192914397923,4.26853398084495,4.14443325182903,4.15780379004699,4.13088151688513,4.23103808869476,4.24440862691271,4.21748635375086,66.5235287315534,75.7840965798646,0.596450301462059,0.620538398569406,0.611997135268159,0.629135774870169,0.0240880971073462,0.0155468338060998,0.0326854734081095,974428000,"HIGHIN",581197874.353072,23472116.2881171,15149270.1720102,31849640.4821173
"124","HKG",240,"China, Hong Kong SAR",0.651296794847301,NA,4.37287372118139,NA,4.34624329495269,4.35248343477869,4.33996397114014,NA,NA,NA,29.26121580614,28.8565035004406,0.0603815140681594,0.0654336576506261,0.0642213600614503,0.0666714091555834,0.00505214358246663,0.00383984599329087,0.00628989508742398,7096000,"China, Hong Kong SAR",428467.223827659,35850.0108611832,27247.547168392,44633.0955403606
"125","HND",241,"Honduras",0.735186858609464,0.525466874389162,3.6809938600454,3.81318600054127,3.62992745292598,3.67507512082608,3.58264469918824,3.76211959342185,3.80726726132194,3.71483683968411,25.9842160227971,27.0115705379104,0.300380259422238,0.32496957906874,0.303186895732876,0.348441030505818,0.0245893196465022,0.00280663631063843,0.0480607710835807,7777000,"Honduras",2336057.27752674,191231.138890848,21827.2105878351,373768.616717007
"126","HPC",242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","HRV",243,"Croatia",0.594260100112368,0.433748708488446,3.88387047725364,3.96637403948872,3.83244725115627,3.8535122967528,3.81092890346186,3.91495081339135,3.93601585898789,3.89343246569695,28.6613883533607,34.1388451119286,0.276006200525707,0.305651601563015,0.293337174409498,0.318462044585351,0.0296454010373084,0.0173309738837917,0.0424558440596441,4324000,"Croatia",1193450.81107316,128186.714085321,74939.1310735152,183579.069713901
"128","HTI",244,"Haiti",0.749753447935206,0.533316772407458,3.38249652978428,3.52134825626409,3.33577403605278,3.36403342527924,3.3066927717762,3.47462576253259,3.50288515175906,3.44554449825601,25.6694902039212,25.6694902039212,0.427405019649566,0.451977186892376,0.437086915551965,0.467371162492623,0.0245721672428097,0.00968189590239849,0.0399661428430569,10033000,"Haiti",4288154.5621441,246532.55394711,97138.461588764,400980.31114439
"129","HUN",245,"Hungary",0.580405008397434,0.478255088428874,3.9424388772869,3.99650989936926,3.89790019782837,3.91869472107648,3.87666406303074,3.95197121991073,3.97276574315884,3.9307350851131,28.6930108358683,31.8354391724833,0.203209677312278,0.225582561683058,0.21496787049298,0.236722364317792,0.0223728843707799,0.0117581931807024,0.0335126870055147,9996000,"Hungary",2031283.93441353,223639.352170316,117534.899034301,334992.819307125
"130","IDN",246,"Indonesia",0.620009236968451,0.503081134293627,3.85084554087145,3.91650595399347,3.79963697911253,3.82001056362209,3.77883966377999,3.86529739223455,3.88567097674411,3.84450007690201,26.7990843059034,23.7530143558208,0.135270836225415,0.154048607770111,0.146380756620911,0.16214527483681,0.0187777715446966,0.0111099203954964,0.0268744386113953,243802000,"Indonesia",32979300.4134285,4578058.25814012,2708620.81226282,6552041.8823354
"131","IMN",247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","IND",248,"India",0.595674697107097,0.473226406157533,3.69378683852108,3.7592293951655,3.62563694149095,3.64822442621743,3.60252744874389,3.69107949813538,3.71366698286186,3.66797000538832,26.8313370139829,24.1521822587377,0.19622435367556,0.229414286833746,0.218079315679244,0.241345301860726,0.0331899331581866,0.0218549620036847,0.0451209481851663,1221156000,"India",239620546.837032,40530086.0157185,26688317.9805716,55099716.602005
"133","INX",249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","IRL",250,"Ireland",0.597829175906425,0.43183279975312,4.15203347850385,4.23749355681502,4.11010399938336,4.12831394778464,4.09155628861959,4.19556407769453,4.2137740260958,4.17701636693076,27.6747161353347,30.5459672273735,0.110142702204291,0.123915582129286,0.117792696230804,0.130377540213068,0.0137728799249948,0.00764999402651301,0.020234838008777,4523000,"Ireland",498175.442070008,62294.7359007514,34600.9229819183,91522.1723136984
"135","IRN",251,"Iran (Islamic Republic of)",0.620818996458053,0.494483141320715,4.12478000035472,4.19523132501111,4.05203102800596,4.07820192269359,4.02515676868488,4.12248235266235,4.14865324734998,4.09560809334127,27.486823231189,29.4675963937045,0.116166260681794,0.140697774740689,0.131496475078419,0.150591165326877,0.0245315140588956,0.0153302143966254,0.0344249046450829,75424000,"Iran (Islamic Republic of)",8761724.0456636,1850264.91637814,1156266.09065107,2596464.00795074
"136","IRQ",252,"Iraq",0.578626199807849,NA,3.82157990701224,NA,3.74726160125429,3.78168034706577,3.71161584787626,NA,NA,NA,24.8391602124419,25.7929085980634,0.161661982596989,0.195112052156542,0.179127672851869,0.212549320417444,0.0334500695595531,0.0174656902548797,0.0508873378204548,31837000,"Iraq",5146832.53994035,1064949.86456749,556055.180644606,1620100.17418982
"137","ISL",253,"Iceland",NA,0.428936867281207,NA,4.44060607509675,NA,NA,NA,4.41340832442591,4.42513129604686,4.40154629293497,27.7977857448478,31.7010270148688,NA,NA,NA,NA,NA,NA,NA,322000,"Iceland",NA,NA,NA,NA
"138","ISR",254,"Israel",0.626186096406919,0.428936867281207,4.3889129650039,4.49297406061406,4.34903129444985,4.36630480679015,4.33145415550088,4.45309239006,4.47036590240031,4.43551525111104,26.8443680600796,30.0694713366287,0.0577833072431053,0.0655258129610842,0.062078957764292,0.0691837577847938,0.00774250571797884,0.00429565052118663,0.0114004505416885,7542000,"Israel",435801.7032275,58393.9781249964,32397.7962307895,85982.1979854144
"139","ITA",255,"Italy",0.607817620134975,0.428936867281207,4.28118698898131,4.37391470059808,4.23190099015134,4.25182464479062,4.21157230004062,4.3246287017681,4.34455235640738,4.30430001165739,28.7412402912494,31.5507679230002,0.0861477256575882,0.0996097719360056,0.093993532224701,0.105588981288696,0.0134620462784175,0.00784580656711278,0.0194412556311076,60729000,"Italy",5231665.23145967,817536.608442014,476467.987014192,1180648.01322153
"140","JAM",256,"Jamaica",0.66377561674112,0.460304637208337,3.93858404866964,4.05294290384192,3.89014572432752,3.90565239401359,3.87439480537265,4.0045045794998,4.02001124918586,3.98875366054493,26.9507243682558,29.0727012202174,0.195752120106934,0.216543919557238,0.209752599527223,0.223570696353182,0.0207917994503045,0.0140004794202886,0.0278185762462481,2755000,"Jamaica",539297.090894603,57281.4074855888,38571.3208028952,76640.1775584135
